Source,Target
771,1816
771,116
771,1076
771,1334
771,1563
771,1671
771,1413
771,656
771,1175
771,661
771,1760
771,934
771,45
1816,1671
1816,534
1816,1102
1816,1405
1816,1619
1816,263
1816,750
1816,323
1816,341
1816,65
1816,159
1816,338
1816,1096
1816,661
1816,1413
1816,699
1816,1896
1816,1034
1816,1734
1816,342
1671,1752
1671,116
1671,1763
1671,1900
1671,1764
1671,1767
1671,131
1671,351
1671,1096
1671,1816
1671,661
1671,1753
1671,934
1671,392
1671,1762
1671,1034
1671,112
1671,1760
1671,425
1671,1748
1752,1900
1752,1762
1752,1763
1752,672
1752,351
1752,131
1752,1748
1752,1304
1752,1764
1752,100
1752,112
1752,1768
1752,116
1752,1476
1752,1406
1752,1767
1752,1671
1752,1753
1752,1096
1752,934
1900,1752
1900,399
1900,1748
1900,1762
1900,672
1900,521
1900,1767
1900,1763
1900,1764
1900,351
1900,1753
1900,1768
1900,131
1900,671
1900,1304
1900,112
1900,1420
1900,100
1900,229
1900,1836
1762,672
1762,1748
1762,1768
1762,1763
1762,1752
1762,1900
1762,218
1762,1764
1762,131
1762,1753
1762,351
1762,1767
1762,100
1762,671
1762,1755
1762,229
1762,112
1762,1476
1762,1760
1762,158
1763,692
1763,1752
1763,1304
1763,100
1763,1764
1763,351
1763,1762
1763,1573
1763,131
1763,116
1763,1748
1763,1900
1763,1767
1763,672
1763,1406
1763,1476
1763,1547
1763,560
1763,1753
1763,1768
672,1762
672,1900
672,122
672,351
672,1752
672,1767
672,100
672,382
672,1406
672,1753
672,1476
672,1748
672,229
672,671
672,1764
672,1304
672,1171
672,1763
672,286
672,1755
351,1304
351,100
351,1476
351,1752
351,1763
351,1764
351,1406
351,112
351,1767
351,934
351,1762
351,131
351,672
351,797
351,1753
351,1900
351,1651
351,661
351,229
351,1671
131,116
131,560
131,1752
131,15
131,1762
131,1763
131,218
131,1764
131,1759
131,90
131,1354
131,1900
131,1748
131,1172
131,1573
131,351
131,1768
131,1096
131,100
131,112
1748,1768
1748,912
1748,218
1748,1762
1748,1763
1748,1752
1748,1900
1748,1764
1748,131
1748,399
1748,351
1748,1304
1748,112
1748,521
1748,1866
1748,671
1748,1755
1748,100
1748,1868
1748,1767
1304,351
1304,1763
1304,100
1304,1752
1304,1764
1304,1406
1304,1476
1304,1767
1304,521
1304,1900
1304,1748
1304,1486
1304,1768
1304,797
1304,1836
1304,131
1304,1762
1304,1753
1304,116
1304,672
1764,1763
1764,1752
1764,1768
1764,1304
1764,351
1764,116
1764,100
1764,1748
1764,1762
1764,131
1764,1767
1764,1406
1764,692
1764,1900
1764,560
1764,1753
1764,1476
1764,1573
1764,672
1764,218
100,1304
100,692
100,351
100,672
100,1763
100,1762
100,1764
100,1752
100,1406
100,1900
100,1748
100,1767
100,1753
100,1476
100,131
100,1768
100,671
100,229
100,399
100,122
112,934
112,1752
112,351
112,392
112,1476
112,1171
112,131
112,116
112,1304
112,661
112,1096
112,1763
112,1141
112,1354
112,1760
112,1764
112,1142
112,1767
112,1762
112,337
1768,1748
1768,912
1768,1762
1768,218
1768,1752
1768,1764
1768,1763
1768,131
1768,1304
1768,1767
1768,1900
1768,399
1768,1866
1768,351
1768,100
1768,671
1768,112
1768,1753
1768,1573
1768,1175
116,131
116,1764
116,1763
116,1752
116,90
116,1096
116,934
116,1767
116,1172
116,1760
116,1753
116,1671
116,1143
116,112
116,661
116,1759
116,15
116,1762
116,1142
116,583
1476,351
1476,1767
1476,1304
1476,1752
1476,112
1476,1763
1476,1753
1476,1764
1476,1171
1476,131
1476,229
1476,1760
1476,661
1476,1406
1476,100
1476,672
1476,671
1476,1762
1476,1900
1476,797
1406,1304
1406,351
1406,100
1406,672
1406,1764
1406,1752
1406,1767
1406,1763
1406,1476
1406,1762
1406,1900
1406,797
1406,1753
1406,1486
1406,229
1406,1768
1406,1748
1406,671
1406,131
1406,1191
1767,1753
1767,229
1767,1760
1767,1476
1767,1762
1767,1900
1767,672
1767,671
1767,1752
1767,1485
1767,351
1767,116
1767,1764
1767,1763
1767,1304
1767,131
1767,661
1767,100
1767,382
1767,1406
1753,1767
1753,1762
1753,229
1753,671
1753,672
1753,1476
1753,1760
1753,1752
1753,1900
1753,351
1753,1485
1753,1764
1753,116
1753,1763
1753,382
1753,100
1753,131
1753,631
1753,1406
1753,661
1096,1752
1096,116
1096,131
1096,862
1096,1413
1096,425
1096,941
1096,934
1096,661
1096,112
1096,1671
1096,1767
1096,1806
1096,1764
1096,1239
1096,1763
1096,1142
1096,1420
1096,1760
1096,1900
934,392
934,715
934,661
934,338
934,116
934,112
934,131
934,307
934,1096
934,290
934,944
934,534
934,1752
934,1760
934,1484
934,1671
934,1767
934,1763
934,1171
934,351
661,934
