label,id
(((AF))),0
14 Bis,1
1923 Autopiano Player Piano,2
2 Caras,3
20 Sucessos SomZoom,4
5-30,5
6b,6
8A,7
9 Miller,8
A Barca,9
A Cor Do Som,10
A.I Records Original Artists,11
A.S2,12
AVC,13
Aaron Behrens of Ghostland Observatory,14
Abdias,15
Abel Ferreira,16
Abilio Farias,17
Absolute Darkness,18
Abysmal Dawn,19
Acarajé Com Camarão,20
Acácio,21
Ada Pasternak,22
Adamastor,23
Adelino Nascimento,24
Adelmario Coelho,25
Adelson Viana,26
Ademilde Fonseca,27
Adoniran Barbosa,28
Adriana Calcanhotto,29
Adriana Partimpim,30
Adão Negro,31
Adílson Ramos,32
African Tribal Orchestra,33
Agepê,34
Agir,35
Agnaldo Timoteo,36
Aildo do pandeiro,37
"Ailton Reiner, Fred Mendez",38
Airto Moreira,39
Al Walsh,40
Alcalyno,41
Alceu Valença,42
Alcione,43
Alcool Club,44
Alcymar Monteiro,45
Alemão Do Forró,46
Alemão E Zezo Ribeiro,47
Alex,48
Alex Corrente,49
Alex Von Linden,50
Alexandre Guerra,51
Aline Duran,52
Aline Mel e Forró na Veia,53
Allejandro E Forro Duquesa,54
Alma Djem,55
Almir Guineto,56
Almir Rouche,57
Almir Sater,58
Altamiro Carrilho,59
Altemar Dutra,60
Alípio Martins,61
Amado Batista,62
Amado Edilson,63
Amadou & Mariam,64
Amazan,65
Amelinha,66
Amilton Lelo,67
Amparanoia,68
Ana Cañas,69
Analog Drink,70
Anastácia,71
Andachan,72
Anderson & Vei da Pisadinha,73
Andrea La Rose,74
André & Andrade,75
André Rio,76
Anelis Assumpção,77
Angela Maria,78
Angela Ro Ro,79
Angelo Boss,80
Angu,81
Anisio Silva,82
Anjinho dos Teclados,83
Anjo Azul,84
Anori Music,85
Anselmo Lopez,86
Anselmo Ralph,87
Anti-Social Music,88
Anton & The Colts,89
Antonio Barros,90
Antonio Marcos,91
Anttex and The Motherfunkin' Clik,92
Antônio Nóbrega,93
Ara Ketu,94
Aracy Cortes,95
Aracy de Almeida,96
Arismar Do Espírito Santo,97
Arkaya,98
Arkiteto,99
Arleno Farias,100
Armand Hammer,101
Armandinho,102
Arnaldo Antunes,103
Arnaldo Baptista,104
Arrasta Pé,105
Arreio de Ouro,106
Arriba Saia,107
Arrigo Barnabé,108
Arthur Moreira Lima,109
Ary Barroso,110
Ary Cordovil,111
Ary Lobo,112
Asa De Águia,113
Asas Livres,114
Asas Morenas,115
Assisão,116
Ataulfo Alves,117
Atim,118
Audiunión,119
Augusto César,120
Aunjel Adams,121
Aureliah Milagres,122
Auricular & DJ Fabio,123
Aurora & The Betrayers,124
Avine Vinny,125
Aviões do Arrocha,126
Aviões do Forró,127
Awa Ly,128
Axess,129
Azagaia,130
Azulão,131
B Skilla,132
B-Dawg,133
BARRAS,134
BSB Disco Club,135
BW JACK,136
Badem Powell,137
Baden Powell,138
Baden Powell Trio,139
Baden Powell de Aquino,140
Badlands,141
Baiano E Os Novos Caetanos,142
Balaio de Gatos,143
Banda 100 Parêa,144
Banda A Favorita,145
Banda A Loba,146
Banda Aquárius,147
Banda Bastião,148
Banda Beijo Bhom,149
Banda Black Rio,150
Banda Boa Toda,151
Banda Calcinha Preta,152
Banda Calypso Do Pará,153
Banda Carícias,154
Banda Cascavel,155
Banda De Pau E Corda,156
Banda De Pifanos De Caruaru,157
Banda Devagarinho,158
Banda Domínio,159
Banda Eddie,160
Banda Encantu's,161
Banda Eva,162
Banda Fazendo Arte,163
Banda Forro Maior,164
Banda Garota Safada,165
Banda Kakana,166
Banda Kassikó,167
Banda Kit Ilusão,168
Banda Labaredas,169
Banda Líbanos,170
