Source,Target
1232,1124
1232,1038
1232,1080
1232,969
1232,78
1232,26
1232,511
1232,15
1232,1166
1232,195
1232,856
1232,541
1232,74
1232,1136
1232,474
1232,422
1232,498
1232,344
1232,383
1232,373
1124,1034
1124,249
1124,802
1124,201
1124,250
1124,1242
1124,1093
1124,221
1124,15
1124,778
1124,514
1124,511
1124,608
1124,643
1124,25
1124,383
1124,344
1124,474
1124,541
1124,479
1034,1124
1034,249
1034,930
1034,1217
1034,795
1034,1013
1034,61
1034,555
1034,859
1034,594
1034,44
1034,183
1034,643
1034,1006
1034,1081
1034,62
1034,256
1034,212
1034,280
1034,79
249,72
249,1029
249,813
249,108
249,384
249,308
249,1138
249,212
249,38
249,153
249,13
249,141
249,1265
249,1124
249,1034
249,356
249,1267
249,1217
249,221
249,878
802,1242
802,250
802,86
802,1193
802,898
802,545
802,201
802,354
802,415
802,1192
802,678
802,740
802,1
802,974
802,650
802,912
802,1164
802,1262
802,425
802,126
201,354
201,898
201,602
201,86
201,121
201,35
201,542
201,352
201,754
201,1209
201,864
201,908
201,203
201,1164
201,802
201,126
201,1192
201,250
201,257
201,330
250,1242
250,802
250,15
250,1192
250,898
250,545
250,201
250,220
250,423
250,572
250,203
250,1
250,692
250,199
250,121
250,972
250,86
250,354
250,1238
250,514
1242,250
1242,423
1242,802
1242,1192
1242,15
1242,736
1242,550
1242,692
1242,220
1242,94
1242,545
1242,199
1242,572
1242,780
1242,341
1242,317
1242,984
1242,1
1242,934
1242,953
1093,371
1093,1215
1093,515
1093,1216
1093,103
1093,870
1093,255
1093,111
1093,1109
1093,895
1093,16
1093,778
1093,840
1093,841
1093,431
1093,82
1093,340
1093,470
1093,522
1093,694
221,602
221,528
221,999
221,108
221,121
221,65
221,201
221,442
221,352
221,212
221,181
221,848
221,1270
221,878
221,406
221,655
221,552
221,1080
221,980
221,716
15,1242
15,250
15,572
15,951
15,423
15,199
15,984
15,1254
15,434
15,121
15,780
15,514
15,1
15,449
15,538
15,802
15,736
15,94
15,341
15,934
778,178
778,840
778,858
778,1109
778,479
778,839
778,533
778,470
778,841
778,430
778,1215
778,522
778,768
778,689
778,1239
778,906
778,1194
778,766
778,420
778,694
514,736
514,1242
514,423
514,341
514,724
514,180
514,1017
514,344
514,250
514,317
514,780
514,787
514,15
514,1
514,861
514,498
514,821
514,647
514,86
514,94
511,498
511,608
511,381
511,593
511,344
511,887
511,973
511,687
511,25
511,120
511,222
511,1078
511,1080
511,821
511,218
511,688
511,425
511,408
511,202
511,856
608,344
608,514
608,511
608,887
608,593
608,408
608,25
608,381
608,688
608,394
608,474
608,218
608,633
608,373
608,940
608,202
608,920
608,1166
608,1171
608,1205
643,576
643,25
643,383
643,887
643,394
643,511
643,448
643,940
643,688
643,1146
643,608
643,390
643,1213
643,1205
643,202
643,687
643,45
643,856
643,633
643,954
25,202
25,576
25,1146
25,390
25,1213
25,887
25,394
25,688
25,940
25,811
25,1205
25,448
25,237
25,383
25,920
25,45
25,149
25,633
25,381
25,593
383,946
383,390
383,1171
383,394
383,940
383,576
383,1213
383,1104
383,202
383,25
383,448
383,573
383,1146
383,474
383,239
383,887
383,45
383,404
383,811
383,1205
344,608
344,514
344,498
344,821
344,1090
344,1017
344,511
344,180
344,120
344,1242
344,250
344,324
344,215
344,1158
344,675
344,595
344,474
344,1171
344,485
344,160
474,887
474,408
474,383
474,633
474,940
474,202
474,593
474,20
474,920
474,688
474,1213
474,237
474,394
474,1171
474,25
474,1205
474,239
474,811
474,390
474,381
541,433
541,1171
541,204
541,383
541,573
541,390
541,1213
541,86
541,514
541,121
541,239
541,250
541,126
541,330
541,511
541,1104
541,344
541,737
541,744
541,716
479,858
479,689
479,839
479,533
479,545
479,178
479,802
479,848
479,898
479,250
479,139
479,761
479,913
479,974
479,602
479,769
479,1032
479,201
479,890
479,92
1038,109
1038,714
1038,1232
1038,402
1038,904
1038,74
1038,1106
1038,1107
1038,872
1038,846
1038,1029
1038,983
1038,503
1038,960
1038,248
1038,969
1038,18
1038,703
1038,792
1038,962
109,441
109,1096
109,846
109,254
109,101
109,492
109,1011
109,130
109,455
109,1097
109,1010
109,1061
109,660
109,1084
109,145
109,174
109,273
109,144
109,883
109,866
714,846
714,962
714,1022
714,1011
714,1190
714,660
714,1085
714,513
714,238
714,1131
714,241
714,455
714,599
714,735
714,494
714,360
714,1096
714,798
714,1250
714,190
402,147
402,866
402,302
402,1172
402,1056
402,666
402,59
402,456
402,487
402,1126
402,411
402,19
402,948
402,101
402,939
402,571
402,846
402,190
402,513
402,241
904,1006
904,322
904,571
904,874
904,307
904,1102
904,299
904,1195
904,61
904,569
904,1220
904,1189
904,1225
904,456
904,132
904,598
904,208
904,22
904,803
904,358
74,1101
74,792
74,794
74,345
74,886
74,1268
74,824
74,403
74,559
74,728
74,960
74,241
74,1162
74,846
74,166
74,267
74,599
74,523
74,916
74,969
1106,703
1106,612
1106,1259
1106,983
1106,921
1106,493
1106,112
1106,473
1106,506
1106,1224
1106,1038
1106,607
1106,499
1106,960
1106,118
1106,159
1106,914
1106,264
1106,432
1106,231
1107,453
1107,1231
1107,1140
1107,307
1107,207
1107,186
1107,860
1107,63
1107,1248
1107,806
1107,1235
1107,1141
1107,1062
1107,1236
1107,299
1107,952
1107,828
1107,771
1107,1120
1107,1155
872,1009
872,781
872,1235
872,276
872,562
872,501
872,1174
872,1233
872,577
872,1188
872,705
872,1175
872,170
872,895
872,874
872,812
872,110
872,531
872,1107
872,544
846,1011
846,1096
846,1010
846,273
846,441
846,1085
846,494
846,399
846,807
846,660
846,990
846,1131
846,332
846,735
846,798
846,455
846,1022
846,707
846,599
846,714
1029,249
1029,384
1029,813
1029,72
1029,353
1029,1260
1029,108
1029,1035
1029,1081
1029,316
1029,224
1029,747
1029,1041
1029,65
1029,91
1029,917
1029,26
1029,1138
1029,13
1029,1265
983,1106
983,118
983,703
983,1259
983,518
983,612
983,731
983,909
983,616
983,473
983,414
983,618
983,493
983,1204
983,945
983,499
983,112
983,18
983,526
983,873
503,1008
503,1027
503,655
503,357
503,928
503,73
503,774
503,258
503,88
503,90
503,1200
503,24
503,1112
503,557
503,491
503,287
503,56
503,294
503,1036
503,318
960,854
960,728
960,599
960,119
960,241
960,916
960,1101
960,559
960,306
960,607
960,74
960,604
960,921
960,1224
960,715
960,835
960,1127
960,80
960,758
960,506
248,979
248,96
248,140
248,897
248,95
248,1039
248,281
248,915
248,391
248,949
248,588
248,1237
248,1123
248,282
248,97
248,169
248,696
248,710
248,1221
248,483
969,27
969,758
969,565
969,329
969,824
969,229
969,1224
969,364
969,792
969,1099
969,819
969,1210
969,81
969,218
969,1268
969,1080
969,231
969,74
969,265
969,408
18,1189
18,216
18,1023
18,1097
18,596
18,492
18,1218
18,145
18,880
18,187
18,109
18,904
18,938
18,174
18,91
18,1229
18,426
18,155
18,112
18,907
703,1106
703,1082
703,1199
703,1259
703,469
703,75
703,473
703,983
703,518
703,566
703,414
703,731
703,1038
703,12
703,945
703,1226
703,909
703,1052
703,1091
703,1077
792,794
792,74
792,345
792,1268
792,824
792,166
792,267
792,886
792,1101
792,364
792,403
792,1224
792,969
792,329
792,1015
792,559
792,846
792,960
792,459
792,807
962,714
962,846
962,899
962,599
962,1022
962,513
962,350
962,660
962,284
962,709
962,1011
962,247
962,1190
962,241
962,1250
962,1165
962,285
962,865
962,1131
962,477
1080,997
1080,1252
1080,1271
1080,211
1080,888
1080,269
1080,809
1080,637
1080,1210
1080,1227
1080,814
1080,511
1080,227
1080,969
1080,1015
1080,179
1080,1047
1080,1240
1080,908
1080,775
997,192
997,809
997,1098
997,269
997,1068
997,1015
997,172
997,1271
997,888
997,211
997,1252
997,377
997,179
997,278
997,315
997,1154
997,592
997,1080
997,1047
997,1197
1252,997
1252,1271
1252,192
1252,211
1252,1080
1252,179
1252,315
1252,172
1252,269
1252,809
1252,1210
1252,888
1252,578
1252,1015
1252,1047
1252,1148
1252,1014
1252,1098
1252,1154
1252,1244
1271,211
1271,39
1271,192
1271,997
1271,809
1271,269
1271,172
1271,1068
1271,888
1271,1252
1271,1015
1271,1080
1271,1210
1271,34
1271,1047
1271,1169
1271,315
1271,1154
1271,1014
1271,1114
211,1271
211,997
211,39
211,192
211,269
211,1080
211,809
211,1252
211,1169
211,172
211,34
211,1210
211,1014
211,1047
211,1015
211,315
211,888
211,179
211,579
211,1064
888,1068
888,192
888,1098
888,997
888,269
888,809
888,377
888,1271
888,172
888,1015
888,1058
888,184
888,1252
888,1080
888,625
888,211
888,1253
888,138
888,362
888,179
269,192
269,997
269,809
269,1068
269,625
269,1098
269,377
269,888
269,1271
269,172
269,211
269,1015
269,179
269,1252
269,1080
269,315
269,278
269,592
269,138
269,184
809,997
809,192
809,172
809,269
809,1271
809,1068
809,1098
809,1015
809,315
809,888
809,1210
809,1114
809,211
809,1047
809,1014
809,1154
809,1169
809,1252
809,278
809,734
637,997
637,1047
637,662
637,1015
637,1080
637,1252
637,256
637,1031
637,123
637,1014
637,0
637,85
637,775
637,814
637,820
637,993
637,192
637,285
637,927
637,417
1210,1169
1210,315
1210,172
1210,1271
1210,1047
1210,1014
1210,809
1210,997
1210,211
1210,1114
1210,1015
1210,1154
1210,1252
1210,389
1210,788
1210,278
1210,592
1210,138
1210,380
1210,192
1227,475
1227,589
1227,575
1227,412
1227,1137
1227,490
1227,1261
1227,553
1227,0
1227,459
1227,486
1227,914
1227,1147
1227,695
1227,1014
1227,1080
1227,166
1227,262
1227,493
1227,950
814,885
814,184
814,888
814,246
814,997
814,269
814,1015
814,1252
814,211
814,1271
814,688
814,989
814,1068
814,192
814,811
814,809
814,428
814,1080
814,887
814,845
227,1080
227,361
227,444
227,554
227,925
227,835
227,450
227,540
227,791
227,530
227,1041
227,222
227,218
227,516
227,110
227,659
227,969
227,394
227,126
227,768
1015,997
1015,192
1015,1068
1015,172
1015,809
1015,1098
1015,794
1015,269
1015,888
1015,1271
1015,1047
1015,326
1015,315
1015,1210
1015,1253
1015,1014
1015,211
1015,1169
1015,519
1015,138
179,997
179,1252
179,192
179,211
179,1080
179,234
179,1271
179,578
179,776
179,809
179,269
179,579
179,592
179,407
179,315
179,100
179,34
179,718
179,242
179,23
1047,315
1047,1014
1047,1169
1047,172
1047,416
1047,1210
1047,809
1047,997
1047,1015
1047,1271
1047,211
1047,734
1047,389
1047,192
1047,782
1047,579
1047,490
1047,1252
1047,0
1047,637
1240,700
1240,196
1240,1197
1240,69
1240,649
1240,1211
1240,1265
1240,655
1240,980
1240,334
1240,1002
1240,475
1240,442
1240,1080
1240,654
1240,1252
1240,901
1240,1153
1240,1266
1240,389
908,86
908,33
908,539
908,330
908,310
908,520
908,121
908,754
908,126
908,681
908,182
908,787
908,1209
908,1164
908,999
908,741
908,838
908,1193
908,354
908,1270
775,1147
775,490
775,1160
775,613
775,1227
775,1157
775,315
775,776
775,0
775,1080
775,475
775,638
775,637
775,262
775,259
775,1047
775,1135
775,206
775,361
775,1122
78,347
78,1181
78,658
78,1196
78,398
78,988
78,750
78,488
78,753
78,533
78,1027
78,137
78,926
78,801
78,502
78,503
78,296
78,30
78,1030
78,961
347,7
347,750
347,988
347,398
347,488
347,236
347,658
347,104
347,936
347,725
347,465
347,1025
347,738
347,502
347,154
347,533
347,826
347,78
347,1027
347,1066
1181,826
1181,753
1181,750
1181,658
1181,1196
1181,926
1181,801
1181,1027
1181,1025
1181,78
1181,609
1181,347
1181,268
1181,626
1181,398
1181,1030
1181,270
1181,721
1181,296
1181,488
658,488
658,750
658,398
658,347
658,801
658,1025
658,1027
658,826
658,1181
658,1191
658,796
658,1257
658,926
658,753
658,1196
658,624
658,78
658,356
658,609
658,1103
1196,1181
1196,658
1196,78
1196,1027
1196,753
1196,296
1196,270
1196,347
1196,1030
1196,609
1196,750
1196,268
1196,398
1196,672
1196,459
1196,868
1196,1198
1196,156
1196,53
1196,926
398,347
398,488
398,658
398,750
398,738
398,1025
398,1019
398,7
398,1027
398,363
398,1066
398,104
398,533
398,801
398,1191
398,1103
398,988
398,465
398,826
398,725
988,320
988,347
988,236
988,398
988,750
988,7
988,328
988,1149
988,5
988,936
988,658
988,465
988,78
988,104
988,349
988,1142
988,502
988,1103
988,1182
988,1196
750,826
750,347
750,1025
750,488
750,658
750,398
750,363
750,128
750,1181
750,801
750,1066
750,1027
750,502
750,1103
750,656
750,7
750,533
750,988
750,926
750,78
488,398
488,658
488,801
488,347
488,750
488,1027
488,1025
488,796
488,533
488,926
488,78
488,753
488,1181
488,1191
488,1066
488,1196
488,858
488,442
488,356
488,363
753,1181
753,926
753,801
753,658
753,1196
753,1257
753,1027
753,488
753,78
753,796
753,672
753,1159
753,29
753,609
753,626
753,833
753,454
753,270
753,296
753,981
533,858
533,347
533,750
533,398
533,488
533,128
533,78
533,658
533,1239
533,1181
533,430
533,178
533,986
533,766
533,479
533,194
533,906
533,1214
533,139
533,801
1027,658
1027,750
1027,488
1027,347
1027,926
1027,363
1027,801
1027,1181
1027,398
1027,753
1027,1196
1027,826
1027,1025
1027,1066
1027,235
1027,1191
1027,597
1027,503
1027,78
1027,442
137,847
137,78
137,146
137,727
137,988
137,188
137,421
137,1145
137,30
137,937
137,347
137,142
137,104
137,232
137,961
137,1170
137,1046
137,843
137,944
137,398
926,753
926,801
926,658
926,1027
926,1181
926,128
926,796
926,488
926,141
926,1196
926,78
926,1257
926,29
926,442
926,721
926,1025
926,878
926,750
926,296
926,1162
801,658
801,488
801,1257
801,796
801,1025
801,753
801,926
801,1181
801,398
801,609
801,1027
801,1191
801,1159
801,750
801,1214
801,124
801,454
801,347
801,29
801,622
502,750
502,347
502,398
502,488
502,1219
502,1181
502,1027
502,658
502,78
502,1196
502,1025
502,988
502,801
502,753
502,609
502,926
502,721
502,1191
502,533
502,1214
296,1196
296,1181
296,1198
296,397
296,868
296,672
296,932
296,670
296,609
296,1144
296,658
296,929
296,1130
296,1030
296,772
296,750
296,1027
296,1047
296,1111
296,78
30,142
30,188
30,944
30,1020
30,847
30,421
30,697
30,727
30,1145
30,1170
30,1076
30,805
30,843
30,146
30,131
30,961
30,816
30,232
30,151
30,937
1030,609
1030,167
1030,626
1030,900
1030,156
1030,1103
1030,1214
1030,1243
1030,1180
1030,266
1030,560
1030,833
1030,947
1030,385
1030,1159
1030,337
1030,293
1030,1119
1030,28
1030,99
961,146
961,727
961,1057
961,853
961,421
961,847
961,924
961,937
961,1145
961,232
961,882
961,304
961,944
961,30
961,843
961,959
961,54
961,507
961,70
961,142
26,895
26,60
26,38
26,353
26,1207
26,1029
26,1093
26,1124
26,1041
26,699
26,356
26,945
26,108
26,1232
26,340
26,384
26,835
26,386
26,103
26,1006
895,1207
895,982
895,587
895,671
895,279
895,872
895,756
895,911
895,58
895,536
895,719
895,72
895,26
895,115
895,677
895,1129
895,40
895,686
895,1174
895,464
60,67
60,1043
60,409
60,1163
60,1079
60,230
60,1178
60,1222
60,338
60,698
60,158
60,1069
60,52
60,388
60,472
60,586
60,657
60,351
60,410
60,992
38,353
38,745
38,747
38,665
38,1161
38,558
38,567
38,1013
38,585
38,547
38,289
38,309
38,663
38,1041
38,552
38,212
38,912
38,1174
38,1006
38,689
353,38
353,745
353,747
353,813
353,665
353,1176
353,1005
353,837
353,289
353,663
353,547
353,1013
353,283
353,1161
353,355
353,1007
353,1029
353,26
353,1035
353,699
1207,387
1207,982
1207,895
1207,664
1207,757
1207,699
1207,910
1207,556
1207,1006
1207,209
1207,276
1207,58
1207,671
1207,830
1207,1110
1207,733
1207,219
1207,956
1207,1151
1207,1161
1041,590
1041,38
1041,429
1041,552
1041,435
1041,497
1041,343
1041,1177
1041,314
1041,46
1041,1263
1041,313
1041,240
1041,1143
1041,162
1041,333
1041,894
1041,1029
1041,512
1041,1053
699,387
699,1128
699,439
699,116
699,277
699,779
699,1152
699,748
699,777
699,664
699,252
699,1207
699,665
699,424
699,214
699,38
699,629
699,275
699,1161
699,556
356,398
356,658
356,347
356,750
356,488
356,352
356,128
356,848
356,442
356,801
356,249
356,141
356,602
356,591
356,108
356,221
356,1027
356,926
356,481
356,129
945,336
945,524
945,469
945,136
945,1091
945,1269
945,219
945,382
945,1202
945,850
945,467
945,1259
945,975
945,75
945,427
945,484
945,386
945,830
945,757
945,473
108,813
108,1265
108,878
108,65
108,221
108,249
108,384
108,442
108,1217
108,896
108,217
108,980
108,1138
108,1260
108,552
108,654
108,212
108,729
108,91
108,1179
340,723
340,1173
340,574
340,1050
340,292
340,148
340,223
340,295
340,500
340,971
340,804
340,628
340,977
340,970
340,1223
340,1139
340,561
340,529
340,291
340,370
384,1138
384,1255
384,1265
384,917
384,655
384,249
384,1029
384,108
384,1260
384,91
384,442
384,141
384,233
384,1266
384,13
384,475
384,980
384,1217
384,224
384,981
835,690
835,905
835,443
835,760
835,580
835,335
835,176
835,468
835,1272
835,9
835,554
835,379
835,960
835,1042
835,366
835,471
835,251
835,102
835,348
835,1021
386,524
386,1269
386,945
386,219
386,568
386,757
386,8
386,830
386,1207
386,563
386,671
386,577
386,1230
386,1150
386,895
386,925
386,113
386,982
386,983
386,872
103,16
103,21
103,1156
103,1115
103,418
103,1258
103,1183
103,143
103,786
103,286
103,445
103,395
103,1264
103,510
103,785
103,272
103,849
103,876
103,1215
103,870
1006,904
1006,209
1006,213
1006,1235
1006,132
1006,910
1006,585
1006,276
1006,36
1006,61
1006,570
1006,135
1006,605
1006,374
1006,212
1006,1241
1006,1024
1006,307
1006,1220
1006,376
1166,408
1166,593
1166,373
1166,675
1166,817
1166,474
1166,25
1166,381
1166,920
1166,608
1166,969
1166,517
1166,1078
1166,394
1166,511
1166,822
1166,1113
1166,1055
1166,383
1166,565
408,593
408,474
408,373
408,381
408,675
408,887
408,817
408,202
408,688
408,920
408,661
408,1113
408,394
408,1166
408,608
408,25
408,149
408,822
408,940
408,511
593,381
593,920
593,1113
593,408
593,817
593,373
593,887
593,675
593,688
593,149
593,474
593,25
593,394
593,1184
593,633
593,940
593,1166
593,608
593,811
593,1205
373,817
373,1184
373,593
373,408
373,675
373,1113
373,359
373,244
373,474
373,50
373,920
373,381
373,1078
373,517
373,822
373,1166
373,1108
373,1065
373,160
373,608
675,1184
675,593
675,373
675,817
675,408
675,244
675,474
675,50
675,381
675,920
675,1113
675,879
675,517
675,1078
675,1090
675,1166
675,160
675,822
675,359
675,324
817,1184
817,373
817,593
817,675
817,359
817,50
817,408
817,1113
817,822
817,920
817,244
817,474
817,1078
817,517
817,1166
817,378
817,1108
817,879
817,346
817,627
381,593
381,887
381,661
381,149
381,688
381,920
381,25
381,408
381,202
381,940
381,394
381,373
381,675
381,474
381,811
381,1113
381,200
381,608
381,640
381,511
920,887
920,688
920,593
920,149
920,25
920,1205
920,474
920,940
920,237
920,381
920,394
920,408
920,811
920,633
920,576
920,1113
920,373
920,817
920,1213
920,675
517,817
517,373
517,675
517,593
517,408
517,822
517,1184
517,244
517,474
517,359
517,1090
517,344
517,661
517,498
517,1078
517,1166
517,1001
517,511
517,821
517,185
1078,817
1078,373
1078,675
1078,1184
1078,511
1078,593
1078,822
1078,498
1078,344
1078,1108
1078,595
1078,160
1078,378
1078,517
1078,608
1078,821
1078,1166
1078,1090
1078,422
1078,185
394,940
394,811
394,390
394,1213
394,1205
394,202
394,448
394,576
394,25
394,45
394,383
394,887
394,1146
394,633
394,161
394,688
394,237
394,737
394,783
394,239
822,817
822,1001
822,1184
822,1108
822,373
822,359
822,517
822,675
822,593
822,185
822,1206
822,1078
822,408
822,367
822,759
822,378
822,344
822,831
822,1166
822,829
1113,593
1113,373
1113,688
1113,817
1113,920
1113,408
1113,25
1113,675
1113,381
1113,17
1113,394
1113,474
1113,887
1113,608
1113,811
1113,160
1113,889
1113,1205
1113,1166
1113,799
1055,1099
1055,770
1055,851
1055,565
1055,551
1055,765
1055,836
1055,863
1055,1234
1055,463
1055,968
1055,819
1055,797
1055,527
1055,611
1055,37
1055,862
1055,319
1055,265
1055,832
565,863
565,742
565,968
565,621
565,364
565,862
565,1037
565,551
565,11
565,265
565,57
565,37
565,819
565,1063
565,342
565,319
565,630
565,770
565,965
565,1054
195,228
195,138
195,1060
195,994
195,482
195,1219
195,1051
195,425
195,821
195,669
195,48
195,1017
195,205
195,225
195,1026
195,1004
195,856
195,301
195,210
195,4
228,1219
228,1051
228,138
228,669
228,994
228,425
228,195
228,301
228,328
228,935
228,461
228,365
228,619
228,478
228,1060
228,274
228,1026
228,225
228,1071
228,218
138,228
138,195
138,1219
138,935
138,669
138,809
138,1051
138,997
138,365
138,994
138,1271
138,269
138,425
138,1087
138,172
138,1210
138,1015
138,1071
138,1060
138,192
1060,1071
1060,193
1060,674
1060,751
1060,312
1060,704
1060,617
1060,457
1060,1088
1060,683
1060,684
1060,935
1060,680
1060,1004
1060,669
1060,842
1060,532
1060,752
1060,648
1060,844
994,693
994,228
994,1105
994,1051
994,935
994,739
994,998
994,114
994,419
994,138
994,195
994,669
994,365
994,328
994,784
994,274
994,966
994,218
994,789
994,84
482,114
482,504
482,985
482,1067
482,195
482,1045
482,31
482,875
482,784
482,617
482,327
482,763
482,47
482,1071
482,1060
482,323
482,228
482,534
482,401
482,369
1219,228
1219,152
1219,1051
1219,943
1219,461
1219,560
1219,28
1219,328
1219,301
1219,1214
1219,1134
1219,425
1219,55
1219,941
1219,1083
1219,609
1219,138
1219,833
1219,117
1219,271
1051,976
1051,228
1051,425
1051,1219
1051,189
1051,301
1051,328
1051,218
1051,669
1051,994
1051,274
1051,935
1051,138
1051,405
1051,789
1051,461
1051,365
1051,396
1051,1256
1051,1262
425,1051
425,228
425,1219
425,189
425,218
425,976
425,301
425,669
425,274
425,994
425,1262
425,802
425,138
425,415
425,821
425,461
425,157
425,789
425,532
425,328
821,923
821,425
821,1017
821,344
821,595
821,514
821,138
821,498
821,1090
821,1148
821,1051
821,823
821,460
821,1242
821,1060
821,1252
821,195
821,511
821,1004
821,692
669,648
669,478
669,1256
669,365
669,935
669,175
669,228
669,583
669,584
669,1071
669,752
669,867
669,532
669,396
669,138
669,1051
669,1060
669,903
669,89
669,884
48,225
48,582
48,210
48,195
48,482
48,4
48,32
48,1026
48,998
48,877
48,994
48,1060
48,808
48,480
48,1132
48,644
48,228
48,931
48,762
48,564
1017,514
1017,341
1017,1242
1017,724
1017,1004
1017,821
1017,305
1017,94
1017,1059
1017,344
1017,1060
1017,674
1017,423
1017,755
1017,934
1017,984
1017,780
1017,317
1017,842
1017,844
205,1118
205,1074
205,730
205,1095
205,623
205,891
205,106
205,321
205,228
205,1026
205,1075
205,68
205,1125
205,195
205,525
205,2
205,615
205,1219
205,42
205,855
225,48
225,32
225,228
225,1026
225,998
225,582
225,994
225,331
225,1249
225,1048
225,480
225,631
225,877
225,133
225,274
225,301
225,966
225,1060
225,825
