Source,Target
8460,7581
8460,6973
8460,7288
8460,6413
8460,485
8460,182
8460,3389
8460,110
8460,7940
8460,1181
8460,5632
8460,3566
8460,467
8460,7656
8460,3127
8460,2775
8460,3273
8460,2241
8460,2495
8460,2444
7581,6946
7581,1501
7581,5265
7581,1234
7581,1503
7581,8530
7581,7348
7581,1350
7581,110
7581,5087
7581,3417
7581,3389
7581,4016
7581,4237
7581,176
7581,2495
7581,2241
7581,3127
7581,3566
7581,3169
6946,7581
6946,1501
6946,6059
6946,8357
6946,5220
6946,6780
6946,383
6946,3687
6946,5649
6946,3957
6946,273
6946,1100
6946,4237
6946,6728
6946,7290
6946,397
6946,1542
6946,1298
6946,1733
6946,493
1501,452
1501,6930
1501,5347
1501,705
1501,2496
1501,1932
1501,7676
1501,1298
1501,236
1501,945
1501,97
1501,881
1501,8686
1501,7581
1501,6946
1501,2305
1501,8710
1501,8357
1501,1350
1501,5756
452,6460
452,5839
452,1298
452,97
452,3649
452,1501
452,236
452,5838
452,705
452,4878
452,6930
452,5756
452,7975
452,4445
452,379
452,810
452,4830
452,6323
452,3571
452,5895
6930,1501
6930,2496
6930,5347
6930,452
6930,2299
6930,8627
6930,705
6930,6948
6930,7290
6930,1980
6930,1361
6930,4849
6930,6994
6930,414
6930,573
6930,5993
6930,182
6930,7676
6930,97
6930,8686
5347,4319
5347,1501
5347,2299
5347,3611
5347,705
5347,2303
5347,3649
5347,4849
5347,2298
5347,236
5347,6930
5347,5161
5347,452
5347,1680
5347,1763
5347,414
5347,2305
5347,1298
5347,2481
5347,5742
705,5347
705,8686
705,5756
705,414
705,1350
705,1501
705,2496
705,2888
705,8357
705,5839
705,1328
705,6477
705,7676
705,8627
705,3649
705,4265
705,1298
705,4670
705,573
705,8033
2496,7676
2496,8608
2496,8686
2496,5993
2496,4267
2496,1501
2496,6930
2496,705
2496,8627
2496,573
2496,2888
2496,881
2496,1426
2496,8693
2496,97
2496,3129
2496,6477
2496,8357
2496,1361
2496,6480
1932,8260
1932,1501
1932,1292
1932,7966
1932,4685
1932,1568
1932,749
1932,3910
1932,4508
1932,1298
1932,372
1932,8529
1932,3775
1932,1542
1932,8489
1932,2362
1932,3100
1932,1303
1932,4056
1932,5071
7676,2496
7676,8608
7676,4267
7676,5993
7676,8686
7676,5171
7676,2527
7676,1501
7676,5868
7676,8302
7676,3129
7676,2859
7676,6477
7676,2888
7676,705
7676,573
7676,97
7676,1426
7676,3810
7676,1605
1298,2481
1298,236
1298,1501
1298,6728
1298,5756
1298,3910
1298,8529
1298,5432
1298,7975
1298,6908
1298,1292
1298,3649
1298,1008
1298,3213
1298,4685
1298,8357
1298,705
1298,452
1298,1350
1298,232
236,2299
236,4838
236,4849
236,4319
236,7901
236,3715
236,3757
236,6780
236,3910
236,3611
236,1811
236,1950
236,4314
236,6994
236,3649
236,1298
236,5962
236,7966
236,6728
236,4445
945,2224
945,575
945,8357
945,1866
945,1479
945,1100
945,7132
945,7034
945,4608
945,7489
945,2922
945,1109
945,7765
945,4449
945,8190
945,557
945,6520
945,6894
945,4656
945,2748
97,452
97,5993
97,1501
97,8686
97,5839
97,705
97,2421
97,7676
97,2496
97,8693
97,3981
97,5895
97,3129
97,6477
97,479
97,3622
97,5742
97,8484
97,774
97,8413
881,2888
881,6031
881,7823
881,5756
881,7676
881,705
881,6477
881,4279
881,1501
881,8686
881,7906
881,2496
881,5221
881,8075
881,1100
881,1504
881,8484
881,3939
881,479
881,8033
8686,8608
8686,2496
8686,7676
8686,5993
8686,8693
8686,705
8686,4503
8686,8524
8686,7627
8686,2888
8686,4267
8686,6477
8686,8627
8686,573
8686,432
8686,97
8686,5503
8686,2859
8686,1501
8686,1426
2305,2579
2305,4279
2305,2275
2305,4886
2305,3209
2305,2295
2305,810
2305,5575
2305,2888
2305,5261
2305,1501
2305,881
2305,3994
2305,3940
2305,705
2305,1350
2305,6918
2305,6031
2305,3177
2305,811
8710,8652
8710,2194
8710,6479
8710,6792
8710,7450
8710,4277
8710,3828
8710,2277
8710,2023
8710,6642
8710,8038
8710,5205
8710,2883
8710,1520
8710,7290
8710,7500
8710,5827
8710,6802
8710,3107
8710,7099
8357,1866
8357,8414
8357,1647
8357,945
8357,2952
8357,705
8357,5761
8357,7343
8357,7150
8357,8413
8357,7646
8357,573
8357,2115
8357,6520
8357,6728
8357,1426
8357,1100
8357,7672
8357,8699
8357,3687
1350,3994
1350,3518
1350,6688
1350,705
1350,772
1350,414
1350,1234
1350,2888
1350,2295
1350,1298
1350,1094
1350,5575
1350,8755
1350,5756
1350,2636
1350,4267
1350,3649
1350,7288
1350,6477
1350,4582
5756,3690
5756,5841
5756,414
5756,5463
5756,2948
5756,7975
5756,7507
5756,705
5756,1298
5756,7672
5756,7823
5756,5266
5756,7934
5756,4862
5756,5462
5756,3649
5756,6872
5756,4517
5756,5031
5756,6031
6059,7581
6059,6946
6059,3731
6059,5491
6059,573
6059,5220
6059,8686
6059,1501
6059,4237
6059,3687
6059,1605
6059,4267
6059,270
6059,4359
6059,1612
6059,2256
6059,5087
6059,1587
6059,7312
6059,6294
3731,6059
3731,6876
3731,176
3731,7510
3731,5220
3731,4359
3731,3254
3731,6101
3731,1047
3731,7150
3731,5282
3731,7312
3731,6946
3731,7403
3731,7025
3731,3687
3731,7669
3731,906
3731,711
3731,6734
5491,6022
5491,3009
5491,270
5491,2572
5491,2060
5491,2256
5491,1607
5491,2545
5491,3550
5491,1600
5491,8742
5491,8670
5491,7386
5491,8619
5491,1625
5491,2612
5491,7514
5491,8654
5491,2279
5491,3451
573,2860
573,5993
573,8627
573,1057
573,8686
573,7676
573,2496
573,8608
573,705
573,3281
573,4267
573,5761
573,8693
573,8549
573,1426
573,2859
573,8357
573,3961
573,1328
573,4457
5220,2375
5220,397
5220,3687
5220,4833
5220,2789
5220,1929
5220,952
5220,5823
5220,906
5220,1263
5220,1047
5220,1511
5220,8247
5220,1993
5220,2859
5220,4659
5220,7669
5220,5691
5220,6615
5220,4457
4237,3813
4237,176
4237,2495
4237,5808
4237,2548
4237,3389
4237,2916
4237,6130
4237,4438
4237,7743
4237,4016
4237,2528
4237,8324
4237,8248
4237,1236
4237,4433
4237,275
4237,5632
4237,4193
4237,6294
3687,493
3687,1993
3687,5220
3687,5823
3687,397
3687,2959
3687,524
3687,557
3687,1511
3687,1100
3687,1542
3687,6148
3687,5793
3687,7800
3687,5687
3687,906
3687,7529
3687,1866
3687,8456
3687,1844
1605,3903
1605,8541
1605,1977
1605,4267
1605,7676
1605,7895
1605,3010
1605,4074
1605,5048
1605,1587
1605,6784
1605,2947
1605,270
1605,6490
1605,8686
1605,1202
1605,5314
1605,3687
1605,8401
1605,5440
4267,2527
4267,8302
4267,8608
4267,5171
4267,90
4267,1476
4267,1371
4267,3903
4267,7676
4267,5868
4267,6956
4267,6377
4267,2888
4267,1202
4267,4265
4267,2485
4267,2859
4267,8686
4267,4877
4267,5456
270,1587
270,8693
270,8401
270,3903
270,8541
270,8713
270,6490
270,1605
270,5831
270,3009
270,6351
270,8686
270,8742
270,2729
270,5491
270,3010
270,6784
270,8619
270,3054
270,4052
4359,6675
4359,1047
4359,3982
4359,4238
4359,7898
4359,3060
4359,5811
4359,534
4359,6101
4359,7403
4359,5157
4359,4183
4359,6349
4359,8595
4359,2796
4359,935
4359,4486
4359,6660
4359,2375
4359,1167
1612,7229
1612,6881
1612,1581
1612,806
1612,7413
1612,5440
1612,5927
1612,8414
1612,8564
1612,6901
1612,2115
1612,2849
1612,2787
1612,8361
1612,1328
1612,8411
1612,6252
1612,717
1612,716
1612,8357
2256,4626
2256,3550
2256,2981
2256,8619
2256,5491
2256,1569
2256,5764
2256,8742
2256,678
2256,4465
2256,1925
2256,6822
2256,5224
2256,5222
2256,2738
2256,2572
2256,8170
2256,6900
2256,595
2256,6155
5087,1069
5087,5530
5087,5644
5087,7464
5087,3169
5087,5529
5087,3545
5087,3097
5087,5533
5087,2816
5087,8353
5087,3484
5087,5003
5087,4445
5087,8505
5087,5922
5087,8140
5087,4997
5087,2770
5087,4478
1587,6490
1587,6784
1587,7198
1587,4052
1587,3295
1587,2639
1587,1327
1587,1189
1587,6351
1587,8401
1587,5831
1587,5957
1587,8713
1587,8541
1587,1689
1587,5314
1587,3903
1587,8769
1587,4708
1587,2329
7312,8686
7312,1511
7312,7403
7312,4486
7312,1047
7312,7800
7312,6101
7312,4108
7312,2080
7312,3060
7312,5831
7312,573
7312,8693
7312,6349
7312,7669
7312,8247
7312,4359
7312,6734
7312,6703
7312,6941
6294,7743
6294,7424
6294,281
6294,1236
6294,176
6294,2916
6294,3813
6294,275
6294,8324
6294,8248
6294,5951
6294,5323
6294,1444
6294,4438
6294,2548
6294,6130
6294,2528
6294,5808
6294,936
6294,2495
6780,3910
6780,4482
6780,3757
6780,8235
6780,1950
6780,4838
6780,4849
6780,3458
6780,1088
6780,3651
6780,3777
6780,3945
6780,5066
6780,236
6780,1543
6780,7954
6780,5480
6780,799
6780,2261
6780,1303
3910,6780
3910,5066
3910,3458
3910,3757
3910,4482
3910,2261
3910,3777
3910,3678
3910,8235
3910,1088
3910,2646
3910,799
3910,7954
3910,1788
3910,5631
3910,4368
3910,1303
3910,1543
3910,6908
3910,1008
4482,6780
4482,1088
4482,8235
4482,3910
4482,3777
4482,3757
4482,3458
4482,4857
4482,799
4482,425
4482,8380
4482,7652
4482,5871
4482,5884
4482,8065
4482,3678
4482,7954
4482,2374
4482,5066
4482,250
3757,3517
3757,1950
3757,4991
3757,4838
3757,6780
3757,4292
3757,3945
3757,3910
3757,2374
3757,4482
3757,4849
3757,8235
3757,6630
3757,5066
3757,1088
3757,236
3757,5540
3757,2170
3757,6835
3757,8276
8235,6780
8235,4482
8235,3757
8235,3910
8235,1088
8235,1950
8235,3777
8235,3458
8235,4838
8235,5066
8235,799
8235,1543
8235,5480
8235,3678
8235,4818
8235,7652
8235,2959
8235,1303
8235,7954
8235,1100
1950,3517
1950,4838
1950,3757
1950,4292
1950,6780
1950,6630
1950,5709
1950,3651
1950,4849
1950,4991
1950,5515
1950,236
1950,3945
1950,3910
1950,3797
1950,6346
1950,8235
1950,4482
1950,1804
1950,4512
4838,1950
4838,236
4838,4849
4838,2299
4838,3757
4838,6780
4838,4991
4838,5709
4838,4292
4838,2374
4838,7472
4838,3910
4838,4482
4838,7901
4838,8235
4838,2377
4838,7980
4838,4314
4838,5515
4838,4319
4849,4838
4849,2299
4849,6780
4849,236
4849,5515
4849,3757
4849,1950
4849,4991
4849,7980
4849,2374
4849,6630
4849,4482
4849,387
4849,3546
4849,1361
4849,3213
4849,2309
4849,3782
4849,2959
4849,8235
3458,799
3458,4482
3458,3910
3458,1088
3458,7960
3458,3777
3458,2646
3458,7954
3458,6443
3458,6780
3458,5884
3458,3678
3458,5066
3458,5465
3458,6577
3458,5063
3458,1808
3458,425
3458,3686
3458,2437
1088,425
1088,4482
1088,3777
1088,3458
1088,799
1088,4857
1088,6577
1088,5884
1088,3910
1088,6780
1088,8235
1088,7652
1088,1543
1088,8065
1088,6443
1088,3757
1088,2646
1088,6741
1088,5871
1088,5218
3651,5709
3651,4934
3651,3088
3651,7472
3651,1950
3651,8276
3651,4838
3651,8285
3651,2377
3651,4292
3651,3517
3651,2484
3651,5540
3651,3271
3651,2959
3651,636
3651,1844
3651,5053
3651,1885
3651,956
3777,4482
3777,1088
3777,2646
3777,3910
3777,4317
3777,7960
3777,3458
3777,7954
3777,2307
3777,6577
3777,6443
3777,799
3777,842
3777,4818
3777,2784
3777,6319
3777,425
3777,3691
3777,8235
3777,5884
3945,3757
3945,4991
3945,3910
3945,1088
3945,1950
3945,6780
3945,4482
3945,6630
3945,8235
3945,3777
3945,5066
3945,3458
3945,3797
3945,3651
3945,221
3945,1008
3945,1543
3945,4512
3945,6908
3945,2170
5066,3910
5066,3678
5066,2261
5066,3757
5066,118
5066,3458
5066,4368
5066,1788
5066,6361
5066,2646
5066,6908
5066,1088
5066,3735
5066,4512
5066,1543
5066,4482
5066,799
5066,3777
5066,7377
5066,3637
1543,1088
1543,6780
1543,4482
1543,3910
1543,3757
1543,8235
1543,3777
1543,5066
1543,2261
1543,1950
1543,5218
1543,3458
1543,7379
1543,3678
1543,118
1543,3559
1543,4039
1543,4818
1543,1303
1543,3637
7954,7960
7954,2646
7954,799
7954,3458
7954,3777
7954,3686
7954,6443
7954,7652
7954,4004
7954,4482
7954,5884
7954,5465
7954,1792
7954,3910
7954,6629
7954,2784
7954,3674
7954,2437
7954,2054
7954,250
5480,3674
5480,7191
5480,6629
5480,7954
5480,6370
5480,6780
5480,4482
5480,2748
5480,1182
5480,7761
5480,7710
5480,6094
5480,7401
5480,5893
5480,4004
5480,5370
5480,1250
5480,524
5480,8235
5480,1100
799,1808
799,5884
799,3693
799,3458
799,425
799,2437
799,3686
799,6577
799,6443
799,7652
799,5063
799,4880
799,7960
799,2646
799,2609
799,7954
799,1088
799,8065
799,3678
799,4482
2261,1788
2261,5175
2261,5631
2261,4355
2261,3678
2261,6304
2261,6424
2261,6854
2261,940
2261,2262
2261,8462
2261,939
2261,3559
2261,8362
2261,219
2261,2383
2261,3910
2261,2027
2261,6211
2261,6971
1303,232
1303,3043
1303,3910
1303,3782
1303,3620
1303,1100
1303,1396
1303,743
1303,6328
1303,6908
1303,524
1303,8396
1303,330
1303,7901
1303,6552
1303,1292
1303,6576
1303,841
1303,8230
1303,1684
383,3620
383,6728
383,4624
383,8368
383,6933
383,3783
383,1303
383,6914
383,3029
383,4543
383,8384
383,5895
383,834
383,3529
383,154
383,330
383,3782
383,2473
383,3544
383,743
3620,1396
3620,3043
3620,2473
3620,383
3620,232
3620,3783
3620,1303
3620,743
3620,386
3620,834
3620,3796
3620,3029
3620,5217
3620,3782
3620,3910
3620,8384
3620,524
3620,4007
3620,1844
3620,330
6728,5895
6728,1292
6728,1303
6728,8471
6728,834
6728,5946
6728,3910
6728,1707
6728,232
6728,383
6728,3783
6728,841
6728,4007
6728,2465
6728,1298
6728,8529
6728,6908
6728,1926
6728,8368
6728,2473
4624,3798
4624,5940
4624,3029
4624,6914
4624,814
4624,8013
4624,6933
4624,4543
4624,4262
4624,5280
4624,1277
4624,834
4624,7481
