label,id
!!!,0
-M-,1
11 Acorn Lane,2
1995,3
20syl,4
21 Hertz,5
5 Majeur,6
8mm,7
A Blaze of Feather,8
A Winged Victory for the Sullen,9
A2h,10
AKA AKA,11
ANIMA!,12
ANOHNI,13
ATK,14
AaRON,15
Absynthe Minded,16
Acid Arab,17
Active Child,18
Actress,19
Adam Naas,20
Admiral Freebee,21
Adrianne Lenker,22
Aeroplane,23
Aesthetic Perfection,24
Agar Agar,25
Agnes Obel,26
Agoria,27
Aim,28
Air,29
Airbag,30
Akhenaton,31
Al'Tarba,32
Alain Bashung,33
Alan Braxe,34
Albin de la Simone,35
Aldous Harding,36
Alec Troniq,37
Alela Diane,38
Alex Gopher,39
Alexandra Streliski,40
AlgoRythmik,41
Alice Francis,42
Alice Glass,43
Alice Phoebe Lou,44
Alice et Moi,45
Alin Coen,46
Alliance Ethnik,47
AllttA,48
Aloïse Sauvage,49
Alvan,50
Amanda Palmer,51
Amason,52
Amon Tobin,53
Anathema,54
Ancient Astronauts,55
And One,56
Andhim,57
Andrew Bird,58
Andy Stott,59
Ane Brun,60
Angel Olsen,61
Anika,62
Animal Collective,63
Anis,64
Anna Calvi,65
Anna Kova,66
Anna Ternheim,67
Annella,68
Annie,69
Antimatter,70
Anton Serra,71
Antony and the Johnsons,72
Apoptygma Berzerk,73
Apparat,74
Aquilo,75
Arca,76
Arcadian,77
Archive,78
Ariel Pink,79
Arms and Sleepers,80
Arnaud Rebotini,81
Arsenal,82
Arsenik,83
Art District,84
Art Feynman,85
Arthur H,86
As De Trêfle,87
Ashbury Heights,88
Asian Dub Foundation,89
Assemblage 23,90
Austra,91
Ayọ,92
Azealia Banks,93
BB Brunes,94
BOKKA,95
BOWNIK,96
Baasch,97
Babylon Circus,98
Backini,99
Bag Raiders,100
Balam Acab,101
Balmorhea,102
Balthazar,103
Bang Gang,104
Barbara Pravi,105
Bart & Baker,106
Bastard Prod,107
Bat For Lashes,108
Baths,109
Baxter Dury,110
Bazart,111
Beacon,112
Bear's Den,113
Beat Assailant,114
Beirut,115
Bell X1,116
Belleruche,117
Ben Khan,118
Ben Lukas Boysen,119
Ben Mazué,120
Benjamin Biolay,121
Benjamin Clementine,122
Benjamin Theves,123
Bent,124
Berry Weight,125
Bertrand Belin,126
Beth Ditto,127
Beth Gibbons,128
Beth Orton,129
Bibio,130
Big Big Train,131
Big Thief,132
Biga Ranx,133
Bigflo & Oli,134
Bill Callahan,135
Billie Marten,136
BirdPen,137
Birdy Nam Nam,138
Birsen Tezer,139
Bitamina,140
Björk,141
Bjørn Riis,142
Black Box Revelation,143
Black Moth Super Rainbow,144
Blackbird Blackbird,145
Blackfield,146
Blanck Mass,147
Blaudzun,148
Bleu Toucan,149
Blick Bassy,150
Blind Ego,151
Blockhead,152
Blonde Redhead,153
Blue Foundation,154
Blue Hawaii,155
Blue States,156
Blundetto,157
Bo Kaspers Orkester,158
Bob Moses,159
Bon Entendeur,160
Bon Voyage Organisation,161
Bonaparte,162
Bonga,163
Bonobo,164
Boogie Belgique,165
Booka Shade,166
Boozoo Bajou,167
Boulevard des Airs,168
Bovska,169
Bowerbirds,170
Boy Harsher,171
Boys Noize,172
Boztown,173
Braids,174
Brain Damage,175
Brambles,176
Brav,177
Brazzaville,178
Breakbot,179
Brigitte,180
Brigitte Bardot,181
Brigitte Fontaine,182
Broadcast,183
Brodinski,184
Broken Back,185
Broken Social Scene,186
Brothertiger,187
Bruce Soord,188
Bumcello,189
Burial,190
Busta Flex,191
Busy P,192
Bérurier Noir,193
Bülent Ortaçgil,194
C2C,195
CSS,196
Cabadzi,197
Caballero & JeanJass,198
Cali,199
Camel Power Club,200
Camille,201
Camp Claude,202
Camélia Jordana,203
Canine,204
Caravan Palace,205
Caribou,206
Carissa's Wierd,207
Caroline Polachek,208
Cass McCombs,209
Casseurs Flowters,210
Cassius,211
Cat Power,212
Cate le Bon,213
Cathy Davey,214
Cats On Trees,215
Chad Valley,216
Chairlift,217
Chapelier Fou,218
Charlie Cunningham,219
Charlie Winston,220
Charlotte Gainsbourg,221
Chassol,222
Chef'Special,223
Chelsea Wolfe,224
Chill Bump,225
Chilla,226
Chilly Gonzales,227
Chinese Man,228
Chloé,229
Christian Kjellvander,230
Christian Löffler,231
Chroma Key,232
Chromatics,233
Chromeo,234
Cibo Matto,235
Cinephile,236
Claire Laffut,237
Clams Casino,238
Clara Luciani,239
Clara Luzia,240
Clark,241
Classixx,242
Claudio Capéo,243
Clement Bazin,244
Clou,245
Club cheval,246
Clubroot,247
Coals,248
CocoRosie,249
Cocoon,250
Colleen,251
Colm Mac Con Iomaire,252
Columbine,253
Com Truise,254
Compact Disk Dummies,255
Connan Mockasin,256
Coralie Clement,257
Covenant,258
Crystal Castles,259
Cults,260
Curtis Harding,261
Cut Copy,262
Cut Killer,263
DARKSIDE,264
DAVID AUGUST,265
DJ Cam,266
DJ Koze,267
DJ Krush,268
DJ Mehdi,269
DJ Shadow,270
DJ Vadim,271
Daan,272
Daedelus,273
Dafuniks,274
Damien Dempsey,275
Damien Jurado,276
Damien Rice,277
Danger,278
Daniel Bélanger,279
Daniel Johnston,280
Daniel Spaleniak,281
Daria Zawiałow,282
Dark Dark Dark,283
Dark Sky,284
Darkstar,285
Das Pop,286
Dave Gahan,287
Davodka,288
Dawn Landes,289
Dday One,290
De Kift,291
De Staat,292
De-Phazz,293
De/Vision,294
DeWolff,295
Death In Vegas,296
Debout Sur Le Zinc,297
Deen Burbigo,298
Deerhunter,299
Defunk,300
Degiheugi,301
Demdike Stare,302
Demi Portion,303
Demians,304
Deportivo,305
Deru,306
Destroyer,307
Devendra Banhart,308
Diane Cluck,309
Dick Annegarn,310
Dico,311
Didier Super,312
Die Höchste Eisenbahn,313
Die Sterne,314
Digitalism,315
Dillon,316
Dionysos,317
Diorama,318
Dirty Doering,319
Dirty Elegance,320
Dirty Honkers,321
Dirty Projectors,322
Disiz La Peste,323
Diva Faune,324
Django,325
Djedjotronic,326
Doc Gyneco,327
Doctor Flake,328
Dominik Eulberg,329
Dominique A,330
