label,id
!!!,0
!Distain,1
$olal,2
&ME,3
'T Hof Van Commerce,4
'Til Tuesday,5
-M-,6
...And You Will Know Us by the Trail of Dead,7
1 Foot In Da Rave,8
"10,000 Maniacs",9
1000 Homo DJs,10
1010 Benja SL,11
10vers,12
11 Acorn Lane,13
110,14
113,15
12 Rounds,16
123,17
123Mrk,18
12th Planet,19
13 & God,20
13 Block,21
14KT,22
16 Bit,23
16 Horsepower,24
16Volt,25
18 Carat Affair,26
18+,27
1900,28
1988,29
1995,30
1=0,31
1million,32
2 Bit Pie,33
20syl,34
214,35
2562,36
2:54,37
2CheeseMilkShake,38
2TH,39
2cztery7,40
2econd Class Citizen,41
2fch,42
2nd Grade,43
2vm,44
2zer,45
30/70,46
313,47
3582,48
3TEETH,49
40 Winks,50
45 Grave,51
47ter,52
5 Majeur,53
5K HD,54
5kinAndBone5,55
64Revolt,56
65daysofstatic,57
6u5,58
7 Jaws,59
808 State,60
8mm,61
9 Lazy 9,62
9th Wonder,63
:Wumpscut:,64
A Blaze of Feather,65
A Brand,66
A Certain Ratio,67
A Fine Frenzy,68
A Flock Of Seagulls,69
A Girl Called Eddy,70
A Hat in Time,71
A Perfect Circle,72
A Place To Bury Strangers,73
A Setting Sun,74
A Sunny Day In Glasgow,75
A Winged Victory for the Sullen,76
A-Laget,77
A. G. Cook,78
A. K. Paul,79
A.A. Bondy,80
A.A. Williams,81
A.L.B.E.R.T,82
A.R. Kane,83
A.S Dragon,84
A2h,85
A7IE,86
ABC,87
ABRA,88
ACTORS,89
ADULT.,90
AFFKT,91
AK,92
AKA AKA,93
ALA.NI,94
ALEX,95
ANIMA!,96
ANOHNI,97
ANUBIS-XIII,98
AQUA STONE THRONE,99
ARTBAT,100
ARTHUR,101
ASHES dIVIDE,102
ASP,103
ATK,104
ATOEM,105
ATYYA,106
AVEC,107
AVGVSTVS,108
AWKWARD i,109
AaRON,110
Aaron Parks,111
Abd Al Malik,112
Abe Vigoda,113
Abel,114
Abfahrt Hinwil,115
Abi Ocia,116
Ablaye Cissoko,117
Abner Jay,118
Abney Park,119
Absolutely Free,120
Abstrackt Keal Agram,121
Absurd Minds,122
Absynthe Minded,123
Abul Mogard,124
Acetone,125
Achile,126
Acht Eimer Hühnerherzen,127
Acid Arab,128
Acid Ghost,129
Acid House Kings,130
Acid Pauli,131
Acidkids,132
Acollective,133
Active Child,134
Actress,135
Acylum,136
Ada,137
Adam & The Ants,138
Adam Green,139
Adam Johnson,140
Adam Naas,141
Adam Pits,142
Adam Port,143
Adana Twins,144
Addison Groove,145
Adebisi Shank,146
Adelén,147
Ades,148
Adi Nowak,149
Adia Victoria,150
Admiral Fallow,151
Admiral Freebee,152
Adrian Lux,153
Adrianne Lenker,154
Adriatique,155
Adrienne Pauly,156
Adrock,157
Adult Jazz,158
Adult Mom,159
Ady Suleiman,160
Aeroplane,161
Aerôflôt,162
Aesop Rock,163
Aesthetic Perfection,164
Aether,165
Afel Bocoum,166
Affelaye,167
Affet Robot,168
Africa Express,169
Afro Celt Sound System,170
AfroCubism,171
Afta-1,172
Afterlife,173
Afu-Ra,174
Against All Logic,175
Agar Agar,176
Agent Fresco,177
Agent Side Grinder,178
Agents Of Time,179
Aghostino,180
Agnes,181
Agnes Obel,182
Agonoize,183
Agoria,184
Ahmet Ali Arslan,185
Aidan Baker,186
Aidan Moffat,187
Aiiso,188
Aim,189
Aimee Mann,190
Air,191
Air France,192
Air Max '97,193
Airbag,194
Airelle Besson,195
Airiel,196
Airlock,197
Aisha Badru,198
Ajar,199
Aketo,200
Akhenaton,201
Akira Gautama,202
Akron/Family,203
Akshin Alizadeh,204
Akın Sevgör,205
Al Wootton,206
Al'Tarba,207
Al'york,208
Ala Dos Namorados,209
Alabama Shakes,210
Aladin 135,211
Alain Bashung,212
Alain Chamfort,213
